u,v
9236375993,538081039
10086801953,12299248444
10086801953,10086801944
10086801953,538081039
538081045,5979606846
538081045,2169488070
538081045,12794844931
5979606846,5979606847
5979606846,538081045
5979606846,12794803676
2169488070,538081045
2169488070,5979606850
2169488070,538354663
12794844931,538081045
12794844931,5979606841
12794844931,12794844932
538081237,11939598483
538081237,11939598481
538081237,5174417720
11939598483,2169569369
11939598483,538081237
11939598483,11939594264
11939598481,538081237
11939598481,2157187698
11939598481,11939598480
5174417720,538081577
5174417720,5174418021
5174417720,538081237
538081559,620173084
538081559,621164920
538081559,1516088422
620173084,538081559
620173084,620173078
620173084,11725604881
620173084,1518951607
621164920,538081559
621164920,538081577
621164920,621164917
1516088422,11725460159
1516088422,538081559
1516088422,9167377195
538081577,5174417720
538081577,1402567842
538081577,621164920
1402567842,538081577
1402567842,538358540
1402567842,6485699708
538083056,9281238515
538083056,8211384942
538083056,9668299116
538083056,8335669877
9281238515,538083056
9281238515,2204418540
9281238515,11036255803
8211384942,538083056
8211384942,8211384938
8211384942,8211384939
9668299116,9668304117
9668299116,11881586833
9668299116,538083056
9668299116,9609258281
8335669877,8211384955
8335669877,8335669873
8335669877,538083056
538083255,4518987226
538083255,1021993561
4518987226,538083255
4518987226,10719110132
4518987226,6949054756
1021993561,2619170741
1021993561,3185110561
538083263,13375916720
538083263,2792852530
538083263,1015117572
13375916720,13375916717
13375916720,538083263
13375916720,13375916718
2792852530,1015117482
2792852530,538083263
2792852530,7388819687
1015117572,1015117504
1015117572,538083263
1015117572,1015117515
538083267,1015117482
538083267,1569484259
538083267,1015117545
1015117482,1015117541
1015117482,538083267
1015117482,2792852530
1569484259,538083267
1569484259,1569484453
1569484259,7388819698
1569484259,13526674243
1015117545,1015117504
1015117545,538083267
1015117545,1015117474
538083424,13526674245
538083424,5843651802
538083424,10719101904
538083424,10719101885
13526674245,538083424
13526674245,1015117486
13526674245,10719101887
5843651802,13526674228
5843651802,538083424
5843651802,11994502588
10719101904,5843651808
10719101904,538083424
10719101904,10719101902
10719101885,4398138358
10719101885,538083424
10719101885,10719101887
538084004,6166199543
538084004,2644859935
6166199543,3259831179
6166199543,538084004
6166199543,10175412154
2644859935,2612546031
538352822,1516088421
538352822,538352823
538352822,1977173153
538352822,2566896938
1516088421,538352822
1516088421,7475272884
1516088421,11752428808
538352823,538352822
538352823,5979606836
538352823,1030171689
1977173153,538354245
1977173153,538352822
1977173153,567877603
2566896938,538352822
2566896938,5979606837
2566896938,8492242129
2566896938,12844362591
5979606836,538352823
5979606836,1977193227
5979606836,5979606837
1030171689,538352823
1030171689,3184940587
1030171689,3184940586
538352830,1030171674
538352830,5264718501
538352830,1030174048
538352830,13520233844
1030171674,538352830
1030171674,10592619121
1030171674,2915139821
5264718501,538352830
5264718501,5264718504
5264718501,5264718502
1030174048,11383894272
1030174048,11383894275
1030174048,538352830
13520233844,13520233842
13520233844,2566896953
13520233844,538352830
538352892,11383894272
538352892,11383894291
538352892,3184940586
11383894272,1030174048
11383894272,538352892
11383894272,11383894273
11383894291,538352892
11383894291,2915138100
11383894291,11383894271
3184940586,1030174054
3184940586,538352892
3184940586,1030171689
538354240,567877603
538354240,538354245
538354240,538353629
567877603,538354240
567877603,1977173153
567877603,1977173171
538354245,1977173153
538354245,7475272884
538354245,538354240
538354245,7475272863
7475272884,538354245
7475272884,1516088421
7475272884,7475272883
7475272863,4089172532
7475272863,7475272864
7475272863,538354245
538354663,12794840197
538354663,538354667
538354663,2169488070
12794840197,538354663
12794840197,8492242125
12794840197,12794849601
538354667,4526019096
538354667,538354664
538354667,538354663
538354664,538354667
538354664,4526019089
538354664,4525933089
4526019089,538354664
4526019089,12846604850
4526019089,4526019093
4525933089,538354664
4526019096,538354667
4526019096,4526019097
4526019096,4526019093
538354677,4526018372
4526018372,538354677
4526018372,4526019097
4526018372,2499506246
538355703,538359121
538355703,6489445098
538355703,621164949
538359121,1516088429
538359121,538355703
538359121,538358267
6489445098,538355706
